,company,rating,location,headquarters,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
0,Google,4.4,"['CA', 'MI', 'TX', 'CA', 'CA', 'MA', 'IL', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA', 'CA', 'CA', 'CA', 'NY', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA', 'CA']","Mountain View, CA",10000+ employees, $10+ billion (USD) per year,1,1,3.3
1,Microsoft,4.3,"['WA', 'WA', 'WA', 'MA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'CA', 'WA', 'CA', 'NC', 'WA', 'WA', 'WA', 'CA', 'CA', 'WA', 'WA', 'WA', 'WA', 'CA', 'WA', 'WA']","Redmond, WA",10000+ employees, $10+ billion (USD) per year,1,1,3.1
2,Cisco Systems,4.2,"['NC', 'CA', 'CA', 'NC', 'CA', 'NC', 'CA', 'CA', 'CA', 'NC', 'CA', 'CA', 'CA', 'NC', 'NC', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA']","San Jose, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
3,Intel Corporation,4.1,"['OR', 'OR', 'CA', 'AZ', 'CA', 'CA', 'AZ', 'Mexico', 'OR', 'AZ', 'CA', 'CA', 'OR', 'CA', 'AZ', 'OR', 'AZ', 'NM', 'CA', 'CA', 'Costa Rica', 'CA', 'AZ', 'CA', 'AZ']","Santa Clara, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
4,Apple,4.1,"['TX', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'TX', 'CA', 'CA', 'CA', 'CA']","Cupertino, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
5,Amazon,3.9,"['WA', 'WA', 'WA', 'WA', 'WA', 'Canada', 'Canada', 'WA', 'WA', 'WA', 'VA', 'WA', 'WA', 'WA', 'WA', 'Canada', 'Canada', 'Canada', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'Canada', 'Canada', 'WA']","Seattle, WA",10000+ employees, $10+ billion (USD) per year,1,1,3
6,IBM,3.8,"['VA', 'VA', 'VA', 'MD', 'VA', 'VA', 'VA', 'VA', 'MD', 'MD', 'MD', 'VA', 'MD', 'VA', 'VA', 'MD', 'NY', 'NC', 'VA', 'MD', 'MD', 'VA', 'VA', 'DC', 'VA']","Armonk, NY",10000+ employees, $10+ billion (USD) per year,0,1,2.8
7,Tata Consultancy Services,3.7,"['GA', 'NJ', 'IL', 'NJ', 'NY', 'NC', 'IL', 'OH', 'OH', 'NJ', 'NJ', 'NJ', 'TX', 'FL', 'NJ', 'NJ', 'NJ', 'MN', 'NJ', 'NJ', 'NJ', 'NY', 'NJ', 'NJ', 'NJ', 'AZ', 'NJ', 'NJ', 'TX', 'CA', 'IL', 'NJ', 'NJ', 'NJ', 'NJ', 'NY', 'NJ', 'NJ']",Mumbai (India),10000+ employees, $10+ billion (USD) per year,1,1,2.7
8,Infosys,3.1,"['NY', 'NJ', 'NY', 'NJ', 'NJ', 'NY', 'MS', 'PA', 'TN', 'TX', 'NJ', 'NY', 'NY', 'NJ', 'NJ', 'NY', 'NJ', 'NJ', 'NY', 'CA', 'NY']",Bengaluru (India),10000+ employees, $10+ billion (USD) per year,1,1,2.6
9,Wipro,2.9,"['GA', 'MA', 'OH', 'CA', 'OH', 'TX', 'TX', 'CA', 'MN', 'CA', 'NY', 'CA', 'MA', 'MN', 'VA', 'CA', 'CA', 'CA', 'CA', 'CA']",Bengaluru (India),10000+ employees, $5 to $10 billion (USD) per year,1,1,2.8
10,Oracle,3.6,"['TX', 'PA', 'WA', 'CA', 'MT', 'CA', 'MA', 'MA', 'CO', 'CA', 'CA', 'CA', 'PA', 'CA', 'GA', 'CA', 'FL', 'CA', 'CA', 'CA', 'OR', 'TX', 'VA', 'CA', 'CA', 'CA', 'CA', 'Canada', 'VA', 'CA', 'CA']","Redwood City, CA",10000+ employees, $10+ billion (USD) per year,1,1,2.9
11,HubSpot,4.7,"['MA', 'NH']","Cambridge, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,3.3
12,DocuSign,4.6,"['NC', 'IL', 'NY', 'CA', 'WA', 'Canada', 'CA', 'IL']","San Francisco, CA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,2.8
13,SAP,4.5,"['WA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA']","Walldorf, Baden-Württemberg (Germany)",10000+ employees, $10+ billion (USD) per year,1,1,2.9
14,NVIDIA,4.6,"['TX', 'OR', 'WA', 'NC', 'OR', 'WA', 'MO', 'CA', 'CA', 'CA', 'Canada', 'MA']","Santa Clara, CA",10000+ employees, $5 to $10 billion (USD) per year,1,1,3.2
15,Ultimate Software,4.4,"['GA', 'GA', 'MO', 'NY', 'CA', 'CA', 'AZ', 'FL']","Weston, FL",5001 to 10000 employees, $1 to $2 billion (USD) per year,1,1,2.8
16,Paycom,4.4,"['GA', 'TX', 'MA', 'IL', 'TX', 'CO', 'TX', 'TX', 'CA', 'TX', 'CA', 'FL', 'WI', 'LA', 'NY', 'OK', 'NJ', 'CA', 'AZ', 'OR', 'CA', 'CA', 'WA', 'CT', 'CA', 'OK']","Oklahoma City, OK",1001 to 5000 employees, $500 million to $1 billion (USD) per year,1,1,3
17,MathWorks,4.4,"['MA', 'MI', 'MA', 'CA', 'MA', 'MI']","Natick, MA",1001 to 5000 employees, $1 to $2 billion (USD) per year,1,1,2.8
18,Intuit,4.4,"['CA', 'ID', 'CA', 'CA', 'TX', 'ID', 'Canada', 'VA', 'TX', 'CA', 'CA', 'Canada', 'CA', 'NY', 'CA', 'TX', 'NV', 'CA', 'CA', 'CA', 'CA', 'CA', 'AZ', 'DC', 'CA', 'CA', 'CA']","Mountain View, CA",5001 to 10000 employees, $2 to $5 billion (USD) per year,1,1,3
19,Salesforce,4.4,"['VA', 'VA', 'VA', 'IN', 'NJ', 'NY', 'CA', 'VA', 'CA', 'CA', 'CA', 'Canada', 'DC']","San Francisco, CA",10000+ employees, $10+ billion (USD) per year,1,1,3.3
20,Patni Computer Systems,4.3,"['GA', 'IL', 'MA', 'OH', 'NY']",Mumbai (India),5001 to 10000 employees, $500 million to $1 billion (USD) per year,0,0,3.1
21,Marlabs,4.4,"['NJ', 'Canada', 'NJ', 'NY', 'NJ', 'NJ', 'NJ']","Piscataway, NJ",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.4
22,Facebook,4.4,"['VA', 'GA', 'TX', 'WA', 'MA', 'IL', 'CA', 'CA', 'CA', 'CA', 'NY', 'WA', 'CA', 'WA', 'CA', 'DC']","Menlo Park, CA",10000+ employees, $10+ billion (USD) per year,1,1,3.1
23,LinkedIn,4.3,"['CA', 'IL', 'MI', 'CA', 'CA', 'NY', 'CA', 'NE', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'Canada']","Sunnyvale, CA",10000+ employees, $5 to $10 billion (USD) per year,1,1,3
24,VMware,4.2,"['GA', 'VA', 'GA', 'TX', 'WA', 'MA', 'CO', 'MA', 'CA', 'CA', 'CO', 'CA', 'CA', 'CA', 'CA', 'VA', 'CA', 'GA', 'GA', 'CA', 'WA', 'CA', 'DC']","Palo Alto, CA",10000+ employees, $5 to $10 billion (USD) per year,1,1,3.1
25,Adobe,4.1,"['CO', 'CA', 'CA', 'UT', 'VA', 'NY', 'UT', 'UT', 'CA', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA', 'DC']","San Jose, CA",10000+ employees, $5 to $10 billion (USD) per year,1,1,3.1
26,World Wide Technology,4.2,"['IL', 'WA', 'NC', 'CA', 'CO', 'IL', 'IL', 'CA', 'MO', 'CA', 'MO', 'NY', 'MO', 'AZ', 'CA', 'VA', 'MO', 'MO', 'CA', 'CA', 'WA', 'MO', 'FL', 'DC']","Maryland Heights, MO",5001 to 10000 employees, $10+ billion (USD) per year,1,1,2.8
27,Twitter,4.1,"['GA', 'MA', 'CO', 'MA', 'IL', 'CA', 'NY', 'CA', 'WA', 'Canada', 'DC']","San Francisco, CA",1001 to 5000 employees, $2 to $5 billion (USD) per year,1,1,3
28,Dell Technologies,4.1,"['CA', 'TX', 'MA', 'MA', 'VA', 'MA', 'KY', 'MA', 'TX', 'MA', 'MA', 'NC', 'TX', 'MA', 'TX', 'FL', 'TX', 'TX', 'MA', 'TX', 'TX', 'FL', 'MA']","Round Rock, TX",10000+ employees, $10+ billion (USD) per year,1,1,2.9
29,UST Global,4.1,"['CA', 'CA', 'GA', 'AR', 'MA', 'CA', 'IL', 'Mexico', 'TX', 'Mexico', 'TN', 'IN', 'CA', 'MO', 'CA', 'OH', 'NJ', 'NY', 'CA', 'VA', 'VA', 'CA', 'OR', 'VA', 'TX', 'CA', 'CA', 'CA', 'WA', 'CA', 'CA', 'CA', 'PA', 'NC', 'CA']","Aliso Viejo, CA",10000+ employees, $1 to $2 billion (USD) per year,1,1,2.9
30,HP Inc.,4.1,"['ID', 'OR', 'CO', 'Mexico', 'TX', 'CA', 'OR', 'CA', 'CA', 'TX', 'CA', 'Mexico', 'WA', 'Mexico']","Palo Alto, CA",10000+ employees, Unknown / Non-Applicable,1,1,2.8
31,AMD,4.0,"['MA', 'MA', 'TX', 'TX', 'WA', 'MA', 'MA', 'MA', 'CO', 'Canada', 'Canada', 'MA', 'NY', 'FL', 'CA', 'CA', 'CA', 'CA', 'Canada', 'Canada']","Santa Clara, CA",5001 to 10000 employees, $2 to $5 billion (USD) per year,0,1,3
32,Epic,4.0,"['WI', 'WI', 'WI', 'WI']","Verona, WI",5001 to 10000 employees, $2 to $5 billion (USD) per year,1,1,2.9
33,Autodesk,4.1,"['MA', 'CO', 'MI', 'TX', 'OR', 'NH', 'Canada', 'CA', 'MI', 'CA', 'OR', 'CA', 'CA', 'Canada', 'MA']","San Rafael, CA",10000+ employees, $2 to $5 billion (USD) per year,1,1,2.9
34,Yahoo,4.0,"['MA', 'CA', 'IL', 'OR', 'NY', 'CA', 'NY', 'NE', 'TX', 'CA', 'CA', 'CA', 'CA', 'CA']","Sunnyvale, CA",5001 to 10000 employees, $2 to $5 billion (USD) per year,1,1,3
35,NetApp,4.0,"['NC', 'MA', 'CO', 'NC', 'PA', 'PA', 'CA', 'NC', 'NC', 'CA', 'PA', 'NC', 'NC', 'CA', 'CA', 'CA', 'MA', 'KS']","Sunnyvale, CA",10000+ employees, $5 to $10 billion (USD) per year,1,1,3
36,Bloomberg L.P.,4.0,"['NY', 'NY', 'NJ', 'NJ', 'NY', 'NJ', 'NY', 'NJ', 'NJ', 'NJ', 'NY', 'CA', 'NJ', 'DC']","New York, NY",10000+ employees, Unknown / Non-Applicable,1,1,3
37,Workday,4.0,"['GA', 'CA', 'MA', 'CO', 'IL', 'TX', 'CA', 'CA', 'CA', 'VA', 'MN', 'NY', 'NY', 'CA', 'CA', 'UT', 'CA', 'CA', 'CA', 'CA', 'DC']","Pleasanton, CA",10000+ employees, $2 to $5 billion (USD) per year,1,1,2.8
38,Avanade,3.9,"['VA', 'GA', 'TX', 'WA', 'MA', 'Canada', 'NC', 'IL', 'TX', 'CO', 'Canada', 'TX', 'CA', 'WA', 'CA', 'MN', 'Canada', 'NY', 'Canada', 'AZ', 'NC', 'WA', 'CA', 'CA', 'WA', 'Canada', 'Canada', 'DC']","Seattle, WA",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.9
39,Citrix,3.9,"['GA', 'MD', 'FL', 'MA', 'MA', 'FL', 'CA', 'NJ', 'FL', 'NY', 'FL', 'NJ', 'NC', 'CA', 'CA', 'CA', 'CA', 'DC']","Fort Lauderdale, FL",5001 to 10000 employees, $2 to $5 billion (USD) per year,1,1,3
40,Qualcomm,3.9,"['GA', 'TX', 'CO', 'MA', 'NJ', 'CA', 'CA', 'CA', 'Canada', 'CA', 'CA', 'NC', 'CA', 'CA', 'CA', 'CA', 'CA', 'Canada']","San Diego, CA",10000+ employees, $10+ billion (USD) per year,1,1,3.1
41,Collabera,3.9,"['GA', 'NJ', 'NC', 'IL', 'OH', 'TX', 'NC', 'IL', 'TX', 'NJ', 'TX', 'IN', 'CA', 'TX', 'NJ', 'IL', 'TX', 'CA', 'NJ', 'NC', 'NJ', 'NY', 'AZ', 'TX', 'WA', 'TX', 'VA', 'CA', 'CA', 'IL', 'WA', 'IL', 'NJ']","Basking Ridge, NJ",10000+ employees, $500 million to $1 billion (USD) per year,0,1,2.6
42,Thomson Reuters,3.7,"['MI', 'MA', 'TX', 'MN', 'NY', 'Canada']","Toronto, ON (Canada)",10000+ employees, $10+ billion (USD) per year,0,1,2.8
43,CDW,3.9,"['AZ', 'NJ', 'IL', 'IL', 'NJ', 'IL', 'IL', 'NY', 'PA', 'VA', 'IL', 'CT', 'FL', 'IL']","Lincolnshire, IL",5001 to 10000 employees, $10+ billion (USD) per year,1,1,2.7
44,PayPal,3.9,"['AZ', 'PA', 'CA', 'NE', 'NE', 'AZ', 'NE', 'NE', 'AZ', 'CA', 'CA', 'CA', 'AZ', 'AZ', 'DE']","San Jose, CA",10000+ employees, $10+ billion (USD) per year,1,1,2.9
45,GE,3.9,"['OH', 'WI', 'OH', 'KY', 'OH', 'MA', 'WI', 'GA', 'KY', 'FL', 'WI', 'WI', 'WI', 'WI', 'WI']","Boston, MA",10000+ employees, $10+ billion (USD) per year,1,1,2.9
46,Netflix,3.8,"['CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'UT', 'CA', 'CA', 'CA']","Los Gatos, CA",1001 to 5000 employees, $5 to $10 billion (USD) per year,1,1,2.9
47,GoDaddy,3.8,"['TX', 'MA', 'MA', 'CA', 'IA', 'AZ', 'AZ', 'IA', 'WA', 'AZ', 'AZ', 'CA', 'CA', 'AZ', 'WA', 'CA', 'AZ']","Scottsdale, AZ",5001 to 10000 employees, $2 to $5 billion (USD) per year,0,1,2.6
48,Expedia Group,3.8,"['WA', 'WA', 'IL', 'TX', 'FL', 'WA', 'HI', 'HI', 'FL', 'Canada', 'HI', 'CA', 'WA', 'MO', 'Canada']","Seattle, WA",10000+ employees, $5 to $10 billion (USD) per year,1,1,2.9
49,CA Technologies,3.8,"['TX', 'Canada', 'MA', 'NY']","San Jose, CA",10000+ employees, Unknown / Non-Applicable,0,1,2.9
50,GoDaddy,3.8,"['TX', 'MA', 'MA', 'CA', 'IA', 'AZ', 'AZ', 'IA', 'WA', 'AZ', 'AZ', 'CA', 'CA', 'AZ', 'WA', 'CA', 'AZ']","Scottsdale, AZ",5001 to 10000 employees, $2 to $5 billion (USD) per year,0,1,2.6
51,Paychex,3.8,"['NM', 'PA', 'NY', 'LA', 'NY', 'IL', 'CO', 'NJ', 'NJ', 'IL', 'NC', 'NY', 'NY', 'IN', 'NJ', 'NY', 'ME', 'FL', 'OH', 'FL', 'IL', 'TN', 'NY', 'NJ', 'OK', 'NY', 'AZ', 'NJ', 'NY', 'FL', 'IL', 'AZ', 'IL', 'NY', 'NY', 'FL']","Rochester, NY",10000+ employees, $2 to $5 billion (USD) per year,1,1,3
52,Honeywell,3.8,"['GA', 'AZ', 'NC', 'SC', 'GA', 'SC', 'AZ', 'AZ', 'KS', 'MO', 'AZ', 'GA', 'NJ', 'NJ', 'NY', 'GA', 'KS', 'AZ', 'AZ', 'AZ', 'KS', 'AZ']","Charlotte, NC",10000+ employees, $10+ billion (USD) per year,0,1,2.9
53,Uber,3.8,"['VA', 'ID', 'VA', 'GA', 'TX', 'MA', 'Canada', 'IL', 'Mexico', 'CA', 'MD', 'MD', 'VA', 'MD', 'VA', 'Costa Rica', 'KY', 'NY', 'CA', 'CO', 'FL', 'Canada', 'IL', 'IL', 'NY', 'GA', 'Canada', 'CA', 'AZ', 'PA', 'PA', 'CA', 'CA', 'CA', 'WA', 'MD', 'CA', 'AZ', 'Canada', 'Canada', 'MA', 'DC', 'PA']","San Francisco, CA",10000+ employees, Unknown / Non-Applicable,0,0,2.9
54,Amdocs,3.8,"['GA', 'GA', 'IL', 'MO', 'IL', 'TX', 'Mexico', 'Canada', 'NJ', 'Canada', 'PA', 'TX', 'MO', 'CA', 'WA', 'Canada', 'Mexico']","Chesterfield, MO",10000+ employees, $2 to $5 billion (USD) per year,0,0,3
55,Hewlett Packard Enterprise | HPE,3.8,"['CA', 'TX', 'TX', 'CA', 'CA', 'TX', 'CA', 'CA', 'CA', 'TX', 'TX', 'CA', 'TX', 'TX']","Palo Alto, CA",10000+ employees, Unknown / Non-Applicable,0,1,2.8
56,IGATE,3.8,"['GA', 'IL', 'MA', 'NJ', 'NJ', 'MA', 'IL', 'OH', 'CA', 'TX', 'CA', 'WI', 'MN', 'NY', 'KS', 'CA']","Bridgewater, NJ",10000+ employees, $1 to $2 billion (USD) per year,0,1,2.8
57,J. Crew,3.8,"['NC', 'VA', 'NY']","New York, NY",10000+ employees, $2 to $5 billion (USD) per year,1,1,2.2
58,Geek Squad,3.8,United States,"Minneapolis, MN",10000+ employees, $100 to $500 million (USD) per year,0,0,2.4
59,Motorola Solutions,3.7,"['IL', 'IL', 'AL', 'IL', 'MD', 'TX', 'IL', 'IL', 'FL', 'IL', 'IL', 'MD', 'FL', 'UT', 'IL', 'FL', 'UT', 'IL', 'WA', 'UT', 'CO']","Chicago, IL",10000+ employees, $5 to $10 billion (USD) per year,0,1,2.8
60,Capgemini,3.8,"['GA', 'IL', 'TX', 'TX', 'NY', 'CA', 'DC']",Issy-les-Moulineaux (France),10000+ employees, $10+ billion (USD) per year,1,1,2.8
61,NortonLifeLock,3.7,"['CA', 'CA', 'AZ']","Tempe, AZ",1001 to 5000 employees, $2 to $5 billion (USD) per year,0,1,3
62,Visa Inc.,3.7,"['UT', 'VA', 'VA', 'TX', 'WA', 'CA', 'CA', 'CO', 'CO', 'CO', 'CA', 'CA', 'VA', 'CO', 'VA', 'FL', 'NY', 'MD', 'CA', 'CA', 'CA', 'CA', 'CA', 'DC']","Foster City, CA",10000+ employees, $10+ billion (USD) per year,1,1,2.8
63,Infor,3.8,"['GA', 'GA', 'Mexico', 'TX', 'SC', 'TX', 'TX', 'MN', 'NY', 'CA', 'CA', 'OR', 'MN', 'CA']","New York, NY",10000+ employees, $2 to $5 billion (USD) per year,0,1,2.7
64,Finish Line,3.7,"['FL', 'MD', 'WA', 'MI', 'CA', 'CA', 'CA', 'MN', 'FL', 'IN', 'MD', 'IN', 'CA', 'GA', 'CA', 'MN', 'FL', 'MN', 'NY', 'IN', 'GA', 'WA', 'WA', 'FL', 'KS']","Indianapolis, IN",10000+ employees, $1 to $2 billion (USD) per year,0,0,2.1
65,Nielsen,3.7,"['GA', 'TX', 'WI', 'PA', 'AR', 'MA', 'NY', 'NJ', 'IL', 'OH', 'FL', 'MD', 'FL', 'TX', 'FL', 'IL', 'NJ', 'WI', 'TX', 'CA', 'NY', 'NJ', 'PA', 'NY', 'VA', 'NY', 'FL', 'NJ', 'NJ', 'FL', 'PA', 'TX', 'KY', 'TX', 'CA', 'CA', 'IL', 'WA', 'MI', 'CA', 'NY', 'FL', 'FL', 'DC', 'NY', 'CT']","New York, NY",10000+ employees, $5 to $10 billion (USD) per year,1,1,2.9
66,Tech Mahindra,3.7,United States,Pune (India),10000+ employees, $2 to $5 billion (USD) per year,0,1,2.8
67,eBay,3.6,"['TX', 'WA', 'CA', 'CA', 'CA', 'UT', 'CA', 'CA', 'UT', 'CA', 'CA', 'CA', 'CA', 'UT', 'CA', 'WA', 'CA']","San Jose, CA",10000+ employees, $10+ billion (USD) per year,1,1,3
68,Western Digital,3.6,"['CA', 'CA', 'CA', 'CA', 'CA', 'CO', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA']","San Jose, CA",10000+ employees, $10+ billion (USD) per year,0,1,2.8
69,Perficient,3.7,"['VA', 'VA', 'GA', 'MA', 'MA', 'IL', 'CA', 'TX', 'CO', 'MI', 'GA', 'VA', 'MI', 'MA', 'TX', 'TX', 'CA', 'MI', 'CA', 'NY', 'TX', 'MO', 'CA', 'CA']","Saint Louis, MO",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,2.8
70,Samsung Electronics,3.6,"['TX', 'TX', 'NJ', 'VA', 'NJ', 'KY', 'Canada', 'NY', 'NJ', 'KS', 'TX', 'NJ', 'NJ', 'NJ', 'CA', 'CA', 'CA', 'Canada']","Suwŏn, Kyonggi (South Korea)",10000+ employees, $10+ billion (USD) per year,0,0,2.9
71,SAIC,3.6,"['NM', 'VA', 'MA', 'VA', 'IN', 'MD', 'CO', 'MD', 'VA', 'CO', 'TN', 'IN', 'CA', 'VA', 'NJ', 'VA', 'VA', 'MD', 'MD', 'MD', 'SC', 'VA', 'MD', 'AL', 'IN', 'MD', 'VA', 'RI', 'TX', 'SC', 'TN', 'FL', 'FL', 'VA', 'VA', 'MD', 'CA', 'CA', 'CA', 'MD', 'VA', 'VA', 'MD', 'AL', 'MD', 'VA']","Reston, VA",10000+ employees, $5 to $10 million (USD) per year,1,1,2.5
72,Asurion,3.5,"['TN', 'VA', 'IL', 'IA', 'AZ', 'VA', 'NV', 'TN', 'MI', 'TX', 'KY', 'CA', 'TN', 'TN', 'TN', 'FL', 'AZ', 'CA', 'CA', 'TN', 'AZ', 'VA', 'AZ', 'KY', 'VA']","Nashville, TN",10000+ employees, Unknown / Non-Applicable,0,1,2.6
73,LTI,3.6,"['CA', 'OH', 'TX', 'NJ', 'CT', 'NJ', 'CT', 'NJ', 'TX', 'CA', 'TX', 'NJ', 'CA', 'WI', 'NJ', 'NJ', 'NY', 'TX', 'MN', 'CA', 'CA', 'CA', 'CA', 'CT', 'CA', 'FL', 'NJ']",Mumbai (India),10000+ employees, Unknown / Non-Applicable,0,1,2.8
74,Cerner,3.5,"['CA', 'MO', 'KS', 'MO', 'MO', 'KS', 'MO', 'CA', 'PA', 'MO', 'KS', 'KS', 'MO', 'PA', 'PA', 'KS', 'PA', 'KS', 'DC', 'PA']","Kansas City, MO",10000+ employees, $5 to $10 billion (USD) per year,1,1,2.7
75,athenahealth,3.6,"['GA', 'GA', 'TX', 'ME', 'MA', 'VT', 'WA', 'MA', 'MA']","Watertown, MA",5001 to 10000 employees, Unknown / Non-Applicable,0,1,3.1
76,Groupon,3.5,"['IL', 'OH', 'KY', 'Canada', 'CA', 'AZ', 'CA', 'AZ', 'WA']","Chicago, IL",5001 to 10000 employees, $2 to $5 billion (USD) per year,1,1,2.8
77,Glassdoor,4.2,"['IL', 'OH', 'CA', 'CA', 'Canada', 'OH']","Mill Valley, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,3.1
78,Varsity Tutors,4.1,"['NJ', 'NJ', 'NY', 'IL', 'MO', 'CA', 'NJ', 'CA', 'NY', 'CA', 'NY', 'CA', 'NY', 'NJ', 'NY', 'NJ', 'CA', 'NJ', 'NY', 'WA', 'CA', 'IL', 'NY', 'AZ', 'NJ', 'NY', 'NY', 'NY']","Saint Louis, MO",201 to 500 employees, Unknown / Non-Applicable,0,1,2.5
79,GitLab,4.9,"['TX', 'CO', 'CA', 'CA', 'DC']","San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.9
80,Everbridge,4.8,"['MA', 'MA', 'CA', 'MI', 'MA', 'CA', 'VA', 'CA', 'CA', 'MA', 'DC']","Burlington, MA",501 to 1000 employees, $100 to $500 million (USD) per year,0,1,2.8
81,Zoom Video Communications,4.7,"['GA', 'CO', 'KS', 'KS', 'CA', 'CA', 'CA']","San Jose, CA",1001 to 5000 employees, Unknown / Non-Applicable,1,0,2.8
82,New Relic,4.7,"['GA', 'MA', 'OR', 'CA', 'WA']","San Francisco, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3
83,Coupa Software Inc,4.7,"['FL', 'IL', 'NY', 'NV', 'CA', 'CA']","San Mateo, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.8
84,LiveRamp,4.7,"['MA', 'MA', 'IL', 'AR', 'NY', 'PA', 'CA', 'WA']","San Francisco, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3
85,Tanium,4.5,"['NC', 'CA', 'TX', 'NC', 'NY', 'CA', 'DC']","Emeryville, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,3.3
86,Zscaler,4.6,"['TX', 'MA', 'IL', 'NY', 'NC', 'CA', 'CA', 'Canada', 'DC']","San Jose, CA",1001 to 5000 employees, Unknown / Non-Applicable,1,1,3.3
87,MongoDB,4.6,"['TX', 'IL', 'NY', 'CA']","New York, NY",1001 to 5000 employees, Unknown / Non-Applicable,1,1,3.1
88,SurveyMonkey,4.5,"['Canada', 'OR', 'CA', 'CA', 'WA']","San Mateo, CA",501 to 1000 employees, $100 to $500 million (USD) per year,1,1,2.8
89,Fortinet,4.5,"['VA', 'Canada', 'Mexico', 'TX', 'CA', 'FL', 'CA', 'NY', 'Canada', 'TX', 'CA', 'CA', 'CA', 'FL', 'Canada', 'Canada', 'DC']","Sunnyvale, CA",10000+ employees, $2 to $5 billion (USD) per year,0,1,3.1
90,AppFolio,4.5,"['MA', 'TX', 'CA', 'CA', 'TX', 'TX', 'CA', 'CA']","Santa Barbara, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,2.8
91,InterSystems,4.5,One Memorial Dr. ,"Cambridge, MA",1001 to 5000 employees, $500 million to $1 billion (USD) per year,0,1,3
92,Cloud Big Data Technologies Group,4.5,United States,"Dallas, TX",1001 to 5000 employees, $50 to $100 million (USD) per year,0,0,2.5
93,AppDynamics,4.5,"['MA', 'IL', 'TX', 'Canada', 'NY', 'TX', 'TX', 'CA', 'Canada']","San Francisco, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3.1
94,Pivotal,4.4,"['GA', 'OR', 'MA', 'MA', 'IL', 'CO', 'NY', 'CA', 'NC', 'CA', 'CA', 'CA', 'Canada', 'DC']","San Francisco, CA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,2.8
95,Dynatrace,4.4,"['TX', 'MA', 'MI', 'NY', 'CA', 'CA', 'WA', 'MA']","Waltham, MA",1001 to 5000 employees, Unknown / Non-Applicable,0,1,3.1
96,SailPoint Technologies,4.7,"11120 Four Points Dr., Suite 100 ","Austin, TX",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,2.9
97,iCIMS,4.2,"['NJ', 'NY', 'CA']","Holmdel, NJ",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,2.9
98,Intermedia,4.4,"['WA', 'CA', 'CA', 'NY', 'CA']","Sunnyvale, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
99,Talend,4.4,"['GA', 'MA', 'IL', 'CA', 'MN', 'MN', 'PA', 'CA', 'CA']","Redwood City, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,3.1
100,Jean Martin,4.4,"['NJ', 'NY', 'NJ']","New York, NY",1001 to 5000 employees, $10 to $25 million (USD) per year,0,0,3.3
101,Genesys,4.4,"['CA', 'NC', 'IN', 'Canada', 'FL', 'Canada']","Daly City, CA",5001 to 10000 employees, $1 to $2 billion (USD) per year,1,1,2.9
102,Wind River,4.4,"['CA', 'Canada', 'Canada', 'CA', 'Costa Rica']","Alameda, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,0,1,2.9
103,Pactera,4.3,United States,"Beijing, Beijing (China)",10000+ employees, $500 million to $1 billion (USD) per year,0,1,2.3
104,MuleSoft,4.4,"['IL', 'CA']","San Francisco, CA",1001 to 5000 employees, $100 to $500 million (USD) per year,1,1,3.1
